No.,유지관리번호,작업유형,시공사,고객사,유지관리명,진척률,작업기간,,비용계정,PO금액,PR번호,PO번호
,,,,,,,시작,종료,,,,
58,CI25015752,전기 단전 작업,대양이엔지,솔루션,사택 2동 차단기 교체 및 전력량계 인입선 개선(3-4라인),100,2025-11-11,2025-11-11,기숙사/사택 수선비,"4,763,325",93094471-20,4570121685-10
59,CI25015753,전기 단전 작업,대양이엔지,솔루션,사택 2동 차단기 교체 및 전력량계 인입선 개선(5-6라인),100,2025-11-12,2025-11-12,기숙사/사택 수선비,"4,763,325",93094471-30,4570121686-10
60,CI25015754,전기 단전 작업,대양이엔지,솔루션,사택 2동 차단기 교체 및 전력량계 인입선 개선(7-8라인),100,2025-11-13,2025-11-13,기숙사/사택 수선비,"4,763,325",93094471-40,4570121687-10
61,CI25015764,기타 보수(기숙사/사택),준마,솔루션,기숙사 3동 소방 스프링클러 보조펌프 교체,100,2025-10-29,2025-10-30,투자,"4,506,400",93094787-10,4570121554-10
62,CI25015765,기타 보수(기숙사/사택),수안,솔루션,기숙사 AB동 지하 영구 배수 집수정 펌프 교체,0,2025-12-09,2025-12-10,투자,"4,587,025",93095088-10,4570121553-10
63,DI25000001,긴급 건축 보수(후정산)_실비정산 상세,일성건축,솔루션,사택 1동 유모차 보관소 비닐(두께 3mm) 커튼_샘플 1개소,80,2025-11-11,2025-11-28,기숙사/사택 수선비,,DA25000001,PA25000001
64,DI25000002,긴급 건축 보수(후정산)_실비정산 상세,일성건축,솔루션,사택 9동 전면부 안전 가이드봉 이전 설치,100,2025-10-17,2025-10-21,기숙사/사택 수선비,,DA25000002,PA25000002
65,DI25000003,긴급 건축 보수(후정산)_실비정산 상세,일성건축,솔루션,사택 2동 현관 분전반 외함 도장(단전 완료후),0,2025-11-19,2025-11-21,기숙사/사택 수선비,,DA25000002,PA25000002
66,CI25016168,기타 보수(기숙사/사택),하이엠솔루텍,솔루션,사택 5동 경비실 천장형 EHP 수리,100,2025-11-07,2025-11-07,기숙사/사택 수선비,"947,954",93098272-10,4570125770-10
67,CI25016119,사택 공가 수장공사,일성건축,솔루션,사택 7-207 수장작업,100,2025-10-30,2025-11-07,기숙사/사택 수선비,"3,594,800",93097620-10,4570125538-10
