회계 연도,매입 마감 (월),발주처,비용배분,S&I 센터,작업유형,장소,건물동,계약명,낙찰금액, PO금액,PO번호,PR번호,PR금액,담당,부서,전체 세대수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,10월31일,엘지화학,단독,운영센터,기타 보수(기숙사/사택),원외(사택/기숙사),기타,사택 6-406 및 8-301 방충망 보수,180000,193500,4506672710-10,85195853-40,190000,서남석,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,10월31일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 2동,사택 2-401 수장 공사,1630000,1752250,4506673104-10,85195853-30,2300000,서남석,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,10월31일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 6동,사택 6-406 수장 공사,2230000,2397250,4506673103-10,85195853-10,3200000,서남석,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,10월31일,엘지화학,단독,운영센터,기타 보수(기숙사/사택),원외(사택/기숙사),사택 6동,사택 6-406 베란다 타일 교체,1200000,1290000,4506673105-10,85195853-20,1400000,서남석,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,11월30일,엘지화학,단독,운영센터,기타 보수(기숙사/사택),원외(사택/기숙사),기타,사택 하반기 지하 저수조 청소,978000,1051350,4506670491-10,85186652-40,1200000,서남석,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,11월30일,엘지화학,단독,운영센터,기타 보수(기숙사/사택),원외(사택/기숙사),기숙사 AB동,기숙사 B동 실외기옆 안전 휀스 설치,1530000,1644750,4506682367-10,85204624-10,1700000,서남석,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,11월30일,엘지화학,단독,운영센터,기타 보수(기숙사/사택),원외(사택/기숙사),기타,사택 및 기숙사 CCTV 보수공사,3939000,4234425,4506690817-10,85217118-10,6000000,서남석,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,11월30일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 8동,사택 8-108 수장공사,2230000,2397250,4506692300-10,85227174-10,3200000,서남석,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,11월30일,엘지화학,단독,운영센터,사택 누수보수,원외(사택/기숙사),사택 8동,사택 8-302 누수보수,330000,354750,4506692118-10,85227174-20,360000,서남석,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,11월30일,엘지화학,단독,운영센터,기타 보수(기숙사/사택),원외(사택/기숙사),기숙사 3동,기숙사3동 교환기용 축전지 교환,720000,774000,4506696305-10,85236638-10,880000,서남석,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,11월30일,엘지화학,단독,운영센터,기타 보수(기숙사/사택),원외(사택/기숙사),기타,사택/기숙사 소방시설 정밀점검,3950000,4246250,4506686204-10,85204681-10,7000000,서남석,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,11월30일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 8동,사택 8-505 수장공사,2230000,2397250,4506702825-10,85244350-10,3200000,서남석,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,11월30일,엘지화학,단독,운영센터,기타 보수(기숙사/사택),원외(사택/기숙사),사택 8동,사택 8-505 타일 교체 공사,139000,149425,4506701970-10,85244350-20,170000,서남석,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,11월30일,엘지화학,단독,운영센터,사택 세대내 보일러 수리(개별),원외(사택/기숙사),기타,사택 10월 보일러 수리,291000,312825,4506711052-10,85258237-10,328000,서남석,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,12월31일,엘지화학,단독,운영센터,기타 보수(기숙사/사택),원외(사택/기숙사),사택 5동,사택5동 노후 화재수신반 교체보수,6350000,6826250,4506688260-10,85204624-20,7000000,서남석,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,12월31일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 5동,사택 5-304 수장 공사,2170000,2332750,4506707436-10,85252042-40,2900000,서남석,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,12월31일,엘지화학,단독,운영센터,기타 보수(기숙사/사택),원외(사택/기숙사),사택 9동,사택 9-106 방충망 보수공사,34000,36550,4506707435-10,85252042-30,36000,서남석,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,12월31일,엘지화학,단독,운영센터,기타 보수(기숙사/사택),원외(사택/기숙사),사택 9동,사택 9-106 타일 보수공사,700000,752500,4506707179-10,85252042-20,800000,서남석,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,12월31일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 9동,사택 9-106 수장공사,2230000,2397250,4506707434-10,85252042-10,3200000,서남석,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,12월31일,엘지화학,단독,운영센터,기타 보수(기숙사/사택),원외(사택/기숙사),사택 6동,사택6동 지하 배수관 보수공사,878000,943850,4506720761-10,85269508-10,970000,서남석,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,12월31일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 6동,사택 6-204 수장공사,1590000,1709250,4506724625-10,85271001-10,2100000,서남석,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,12월31일,엘지화학,단독,운영센터,기타 보수(기숙사/사택),원외(사택/기숙사),사택 6동,사택 6-204 방충망 보수,150000,161250,4506724626-10,85271001-20,160000,서남석,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,12월31일,엘지화학,단독,운영센터,기타 보수(기숙사/사택),원외(사택/기숙사),기타,사택/기숙사 소방시설 보수공사,1487000,1598525,4506732530-10,85278802-10,2000000,서남석,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,12월31일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 5동,사택 5-402 수장공사,1640000,1763000,4506735972-10,85286694-30,2000000,서남석,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,12월31일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 7동,사택 7-205 수장공사,640000,688000,4506734628-10,85286694-10,711000,서남석,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,12월31일,엘지화학,단독,운영센터,기타 보수(기숙사/사택),원외(사택/기숙사),사택 5동,사택 5-402 방충망 보수,75000,80625,4506734630-10,85286694-40,84000,서남석,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,12월31일,엘지화학,단독,운영센터,기타 보수(기숙사/사택),원외(사택/기숙사),사택 7동,사택 7-205 비품철거 및 이설작업,970000,1042750,4506734629-10,85286694-20,1000000,서남석,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,12월31일,엘지화학,단독,운영센터,사택 세대내 보일러 수리(개별),원외(사택/기숙사),기타,사택 11월 보일러 수리,125000,134375,4506736008-10,85289119-10,150000,서남석,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,12월31일,엘지화학,단독,운영센터,기타 보수(기숙사/사택),원외(사택/기숙사),기숙사 3동,기숙사 3-426 수장공사,230000,247250,4506738948-10,85290416-10,240000,서남석,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,12월31일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 6동,사택 6-201 수장공사,750000,806250,4506741118-10,85294029-10,770000,서남석,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
